time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-31T14:45:50.990Z,19.4266663,-155.2706604,0.82,2.97,ml,22,47,0.002841,0.34,hv,hv70503152,2018-07-31T14:51:32.610Z,"3km W of Volcano, Hawaii",earthquake,0.35,0.29,0.27,13,automatic,hv,hv
2018-07-31T14:42:39.330Z,19.4116669,-155.2671661,0.19,3.65,ml,54,36,0.006892,0.26,hv,hv70503132,2018-07-31T16:46:43.745Z,"3km SW of Volcano, Hawaii",earthquake,0.22,0.15,3.63,35,automatic,hv,hv
2018-07-31T14:42:39.080Z,19.4125,-155.266,0.4,3.29,ml,24,68,0.005794,0.09,hv,hv70503137,2018-07-31T22:19:03.930Z,"3km SW of Volcano, Hawaii",earthquake,0.13,0.14,0.211,51,reviewed,hv,hv
2018-07-31T14:38:14.730Z,19.4278336,-155.2714996,0.88,2.66,ml,8,109,0.00368,0.13,hv,hv70503117,2018-07-31T14:44:30.690Z,"3km W of Volcano, Hawaii",earthquake,0.6,0.64,0.29,13,automatic,hv,hv
2018-07-31T14:37:19.270Z,19.3971672,-155.2736664,1.26,2.72,ml,37,41,0.00179,0.17,hv,hv70503112,2018-07-31T14:44:21.710Z,"5km SW of Volcano, Hawaii",earthquake,0.25,0.15,0.4,18,automatic,hv,hv
2018-07-31T14:36:05.620Z,36.9525,36.0969,7,4.3,mb,,87,0.916,0.57,us,us2000gi7x,2018-07-31T15:32:33.040Z,"8km W of Mahmutlar, Turkey",earthquake,5.3,5.5,0.09,35,reviewed,us,us
2018-07-31T14:34:40.450Z,56.5806,-156.3814,74.2,2.8,ml,,,,0.6,ak,ak19997653,2018-07-31T14:41:16.424Z,"96km NNW of Chirikof Island, Alaska",earthquake,,1.4,,,automatic,ak,ak
2018-07-31T14:25:29.540Z,10.6248,-86.0536,35,4.5,mb,,179,1.132,1.16,us,us2000gi7n,2018-07-31T14:57:12.040Z,"46km WNW of Sardinal, Costa Rica",earthquake,7.1,2,0.05,118,reviewed,us,us
2018-07-31T14:25:14.940Z,19.4113331,-155.2496643,-0.32,2.72,ml,15,165,0.009668,0.23,hv,hv70503067,2018-07-31T14:30:58.770Z,"2km SSW of Volcano, Hawaii",earthquake,0.38,0.36,0.41,12,automatic,hv,hv
2018-07-31T14:24:06.070Z,19.3955002,-155.2838287,0.34,2.83,ml,29,42,0.009142,0.21,hv,hv70503057,2018-07-31T14:30:08.600Z,"6km SW of Volcano, Hawaii",earthquake,0.16,0.25,2.55,27,automatic,hv,hv
2018-07-31T14:23:46.720Z,19.4006672,-155.2581635,1.18,2.68,ml,19,110,0.007809,0.25,hv,hv70503052,2018-07-31T14:29:59.420Z,"3km SSW of Volcano, Hawaii",earthquake,0.35,0.42,0.43,22,automatic,hv,hv
2018-07-31T14:21:02.960Z,19.3916664,-155.2611694,0.26,2.98,ml,25,44,0.007991,0.35,hv,hv70503042,2018-07-31T14:26:46.200Z,"4km SSW of Volcano, Hawaii",earthquake,0.39,0.36,2.47,16,automatic,hv,hv
